"cont","for2040","for2050","for2060","for2080","for2100","loss21","yr75dis"
"India",5878368,4661888,3445408,2068925,721625,93.4706328905473,2049
"DRC",100608457,92006917,83405377,66202297,48999217,62.7724576363742,2114
"Indonesia",92007644,79852774,67697904,43388164,19078424,86.4943249250777,2087
"Brazil",304235497,288862296,273489094,242742695,211996294,43.6019532708901,2183
"America",563304880,534551818,506564013,454291173,404343503,41.4298955507549,2197
"Africa",197636169,180847799,166262231,139097880,115590580,58.0805730716298,2143
"Asia",196234584,171416750,147191376,101932309,66033710,78.0918617902871,2094
"All continents",957175633,886816367,820017620,695321362,585967793,53.7703323504011,2171
