"cont","for2040","for2050","for2060","for2080","for2100","loss21","yr75dis"
"India",5131128,3541028,2597225,840425,314067,97.157810232361,2038
"DRC",97988777,88077397,78166017,58343257,38520497,70.7327842630358,2099
"Indonesia",86343524,71356594,56369664,26395804,0,100,2070
"Brazil",296389972,277094015,257798055,219206134,180614215,51.9505267181865,2146
"America",548687531,513687722,480147666,417692903,356247515,34.2967827734856,2251
"Africa",190070947,171760386,155446094,126028720,100558808,51.534421592122,2169
"Asia",183985600,153946186,124565633,73395796,38430926,66.1157262534348,2120
"All continents",922744078,839394294,760159393,617117419,495237249,60.9260721462616,2142
