"area_cont","for2000","for2005","for2010","for2015","for2020","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","loss21","yrdis"
"India",10779536,9929134,9235728,8690184,8368018,54295,0.6,7825068,7553593,7282118,6739168,6467693,6196218,5653268,5110318,4838843,4567368,4103525,61.9322668433966,3493
"DRC",131297735,128587236,125604601,121264561,118282874,562240,0.5,112660474,109849274,107038074,101415674,98604474,95793274,90170874,84548474,81737274,78926074,73303674,44.1698868605768,2230
"Indonesia",139357957,132908237,126473252,120755315,117072449,646351,0.5,110608939,107377184,104145429,97681919,94450164,91218409,84754899,78291389,75059634,71827879,65364369,53.0960625377136,2201
"Brazil",374281558,358824492,348649906,341961960,334948354,1012264,0.3,324825714,319764394,314703074,304580434,299519114,294457794,284335155,274212518,269151197,264089876,253967235,32.1454050909984,2350
"America",687338828,663284440,646684903,633262044,621229023,1836098,0.3,602868043,593687553,584507063,566146083,556965593,547785103,529434712,511158053,502086532,493070322,476194555,30.7190957936105,6215
"Africa",274993405,266675566,258401297,247952623,239681325,1315897,0.5,226522355,219942870,213363385,201250184,195886961,190556925,180066399,169961031,165028161,160247074,151415462,44.9385115253946,5069
"Asia",297089526,281780814,268058087,255943653,248035053,1371294,0.5,234322113,227465643,220609173,206896233,200052318,193590998,180668358,167745718,161284398,154823078,142358155,52.0824052881622,6520
"All continents",1259421759,1211740820,1173144287,1137158320,1108945401,4523289,0.4,1063712511,1041096066,1018479621,974292500,952904872,931933026,890169469,848864802,828399091,808140474,769968172,38.8633580055528,6520
