"cont","for2040","for2050","for2060","for2080","for2100","loss21","yr75dis"
"India",7404592,6206882,5009172,3557141,2244361,82.7069382257738,2064
"DRC",101325083,92931653,84538223,67751363,50964503,61.3900746561797,2117
"Indonesia",93899084,82492454,71085824,48272564,25459304,82.0318956967776,2093
"Brazil",311057321,295705328,280353337,249649353,218945370,43.0336070760609,2187
"America",576351257,547493005,519424949,466432143,416659285,41.0455338810919,2201
"Africa",199724582,183050096,168209081,141282141,117867327,57.5793400489109,2145
"Asia",206367676,182159346,158586016,114081561,76817875,75.4415886436258,2099
"All continents",982443515,912702447,846220046,721795845,611344487,52.8791798342227,2173
