area_cont,area_ctry,area_name,area_code,proj,for2000,for2005,for2010,for2015,for2020,d_se,d_mean,d_min,d_max,andef,pdef,for2030,for2035,for2040,for2050,for2055,for2060,for2070,for2080,for2085,for2090,for2100,yrdis,id_cont,id_d
America,Dominican Rep.,Dominican Rep.,DOM,low,1266155,1142089,1017578,911636,866469,2999,15486,9608,21364,9608,1,770389,722349,674309,578229,530189,482149,386069,289989,241949,193909,97829,2110,1,1
America,Dominican Rep.,Dominican Rep.,DOM,mean,1266155,1142089,1017578,911636,866469,2999,15486,9608,21364,15486,1.6,711609,634179,556749,401889,324459,247029,92169,0,0,0,0,2075,1,2
America,Dominican Rep.,Dominican Rep.,DOM,high,1266155,1142089,1017578,911636,866469,2999,15486,9608,21364,21364,2.3,652829,546009,439189,225549,118729,11909,0,0,0,0,0,2060,1,3
America,Ecuador,Ecuador,ECU,low,15470923,15222933,14952476,14651806,14380353,8973,60821,43234,78408,43234,0.3,13948013,13731843,13515673,13083333,12867163,12650993,12218653,11786313,11570143,11353973,10921633,2352,1,1
America,Ecuador,Ecuador,ECU,mean,15470923,15222933,14952476,14651806,14380353,8973,60821,43234,78408,60821,0.4,13772143,13468038,13163933,12555723,12251618,11947513,11339303,10731093,10426988,10122883,9514673,2256,1,2
America,Ecuador,Ecuador,ECU,high,15470923,15222933,14952476,14651806,14380353,8973,60821,43234,78408,78408,0.5,13596273,13204233,12812193,12028113,11636073,11244033,10459953,9675873,9283833,8891793,8107713,2203,1,3
America,El Salvador,El Salvador,SLV,low,132516,119075,110921,103620,96781,236,1618,1156,2079,1156,1.1,85221,79441,73661,62101,56321,50541,38981,27421,21641,15861,4301,2103,1,1
America,El Salvador,El Salvador,SLV,mean,132516,119075,110921,103620,96781,236,1618,1156,2079,1618,1.6,80601,72511,64421,48241,40151,32061,15881,0,0,0,0,2079,1,2
America,El Salvador,El Salvador,SLV,high,132516,119075,110921,103620,96781,236,1618,1156,2079,2079,2.1,75991,65596,55201,34411,24016,13621,0,0,0,0,0,2066,1,3
America,French Guiana,French Guiana,GUF,low,8120655,8109002,8092691,8078458,8065771,241,2940,2468,3411,2468,0,8041091,8028751,8016411,7991731,7979391,7967051,7942371,7917691,7905351,7893011,7868331,5288,1,1
America,French Guiana,French Guiana,GUF,mean,8120655,8109002,8092691,8078458,8065771,241,2940,2468,3411,2940,0,8036371,8021671,8006971,7977571,7962871,7948171,7918771,7889371,7874671,7859971,7830571,4763,1,2
America,French Guiana,French Guiana,GUF,high,8120655,8109002,8092691,8078458,8065771,241,2940,2468,3411,3411,0,8031661,8014606,7997551,7963441,7946386,7929331,7895221,7861111,7844056,7827001,7792891,4384,1,3
America,Grenada,Grenada,GRD,low,25702,24494,22191,19717,19141,120,292,56,528,56,0.3,18581,18301,18021,17461,17181,16901,16341,15781,15501,15221,14661,2361,1,1
America,Grenada,Grenada,GRD,mean,25702,24494,22191,19717,19141,120,292,56,528,292,1.4,16221,14761,13301,10381,8921,7461,4541,1621,161,0,0,2085,1,2
America,Grenada,Grenada,GRD,high,25702,24494,22191,19717,19141,120,292,56,528,528,2.7,13861,11221,8581,3301,661,0,0,0,0,0,0,2056,1,3
America,Guadeloupe,Guadeloupe,GLP,low,80041,79361,77548,75391,72939,78,376,223,529,223,0.3,70709,69594,68479,66249,65134,64019,61789,59559,58444,57329,55099,2347,1,1
America,Guadeloupe,Guadeloupe,GLP,mean,80041,79361,77548,75391,72939,78,376,223,529,376,0.5,69179,67299,65419,61659,59779,57899,54139,50379,48499,46619,42859,2213,1,2
America,Guadeloupe,Guadeloupe,GLP,high,80041,79361,77548,75391,72939,78,376,223,529,529,0.7,67649,65004,62359,57069,54424,51779,46489,41199,38554,35909,30619,2157,1,3
America,Guatemala,Guatemala,GTM,low,3503631,3041953,2727576,2501803,2281565,4817,48867,39425,58309,39425,1.5,1887315,1690190,1493065,1098815,901690,704565,310315,0,0,0,0,2077,1,1
America,Guatemala,Guatemala,GTM,mean,3503631,3041953,2727576,2501803,2281565,4817,48867,39425,58309,48867,2,1792895,1548560,1304225,815555,571220,326885,0,0,0,0,0,2066,1,2
America,Guatemala,Guatemala,GTM,high,3503631,3041953,2727576,2501803,2281565,4817,48867,39425,58309,58309,2.4,1698475,1406930,1115385,532295,240750,0,0,0,0,0,0,2059,1,3
America,Guyana,Guyana,GUY,low,18629589,18560054,18503776,18443678,18361596,1961,15128,11284,18972,11284,0.1,18248756,18192336,18135916,18023076,17966656,17910236,17797396,17684556,17628136,17571716,17458876,3647,1,1
America,Guyana,Guyana,GUY,mean,18629589,18560054,18503776,18443678,18361596,1961,15128,11284,18972,15128,0.1,18210316,18134676,18059036,17907756,17832116,17756476,17605196,17453916,17378276,17302636,17151356,3233,1,2
America,Guyana,Guyana,GUY,high,18629589,18560054,18503776,18443678,18361596,1961,15128,11284,18972,18972,0.1,18171876,18077016,17982156,17792436,17697576,17602716,17412996,17223276,17128416,17033556,16843836,2987,1,3
America,Haiti,Haiti,HTI,low,256246,199991,167635,139270,121983,557,4840,3747,5932,3747,2.5,84513,65778,47043,9573,0,0,0,0,0,0,0,2052,1,1
America,Haiti,Haiti,HTI,mean,256246,199991,167635,139270,121983,557,4840,3747,5932,4840,3.3,73583,49383,25183,0,0,0,0,0,0,0,0,2045,1,2
America,Haiti,Haiti,HTI,high,256246,199991,167635,139270,121983,557,4840,3747,5932,5932,4.3,62663,33003,3343,0,0,0,0,0,0,0,0,2040,1,3
America,Honduras,Honduras,HND,low,3434964,3199796,3018384,2778623,2571484,5513,46107,35302,56912,35302,1.2,2218464,2041954,1865444,1512424,1335914,1159404,806384,453364,276854,100344,0,2092,1,1
America,Honduras,Honduras,HND,mean,3434964,3199796,3018384,2778623,2571484,5513,46107,35302,56912,46107,1.6,2110414,1879879,1649344,1188274,957739,727204,266134,0,0,0,0,2075,1,2
America,Honduras,Honduras,HND,high,3434964,3199796,3018384,2778623,2571484,5513,46107,35302,56912,56912,2.1,2002364,1717804,1433244,864124,579564,295004,0,0,0,0,0,2065,1,3
