"area_cont","area_ctry","area_name","area_code","proj","for2000","for2010","for2020","d","p","for2030","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","loss21","yrdis"
"Africa","Cameroon","Cameroon","CMR","high",23883,23572,22876,86769,0.4,22009,21141,20273,19839,19405,18538,17670,17236,16802,15935,33,"2283"
"Africa","CAR","CAR","CAF","low",9810,9345,8820,39149,0.4,8428,8037,7645,7450,7254,6863,6471,6275,6080,5688,42,"2245"
"Africa","CAR","CAR","CAF","mean",9810,9345,8820,52669,0.6,8293,7767,7240,6977,6713,6187,5660,5396,5133,4606,53,"2187"
"Africa","CAR","CAR","CAF","high",9810,9345,8820,66188,0.7,8158,7496,6834,6503,6172,5511,4849,4518,4187,3525,64,"2153"
"Africa","Comoros","Comoros","COM","low",87,87,82,149,0.2,80,79,77,77,76,74,73,72,71,70,19,"2569"
"Africa","Comoros","Comoros","COM","mean",87,87,82,1109,1.4,71,60,49,43,38,26,15,10,4,0,100,"2093"
"Africa","Comoros","Comoros","COM","high",87,87,82,2069,2.7,61,41,20,9,0,0,0,0,0,0,100,"2059"
"Africa","Congo","Congo","COG","low",24093,23972,23377,42744,0.2,22949,22522,22094,21881,21667,21240,20812,20598,20385,19957,17,"2566"
"Africa","Congo","Congo","COG","mean",24093,23972,23377,57438,0.2,22802,22228,21654,21366,21079,20505,19930,19643,19356,18782,22,"2426"
"Africa","Congo","Congo","COG","high",24093,23972,23377,72132,0.3,22655,21934,21213,20852,20491,19770,19049,18688,18327,17606,27,"2344"
"Africa","DRC","DRC","COD","low",131617,126164,117812,729137,0.6,110520,103229,95937,92292,88646,81355,74063,70418,66772,59481,55,"2181"
"Africa","DRC","DRC","COD","mean",131617,126164,117812,860137,0.7,109210,100609,92007,87707,83406,74805,66203,61903,57602,49001,63,"2156"
"Africa","DRC","DRC","COD","high",131617,126164,117812,991138,0.8,107900,97989,88077,83122,78166,68255,58343,53388,48432,38520,71,"2138"
"Africa","Eq. Guinea","Eq. Guinea","GNQ","low",2647,2643,2610,2338,0.1,2587,2563,2540,2528,2516,2493,2470,2458,2446,2423,8,"3136"
"Africa","Eq. Guinea","Eq. Guinea","GNQ","mean",2647,2643,2610,3106,0.1,2579,2548,2517,2501,2486,2455,2424,2408,2393,2362,11,"2860"
"Africa","Eq. Guinea","Eq. Guinea","GNQ","high",2647,2643,2610,3874,0.1,2571,2533,2494,2474,2455,2416,2378,2358,2339,2300,13,"2693"
"Africa","Ethiopia","Ethiopia","ETH","low",3806,2858,2131,53859,2.1,1593,1054,515,246,0,0,0,0,0,0,100,"2059"
"Africa","Ethiopia","Ethiopia","ETH","mean",3806,2858,2131,76204,3.1,1369,607,0,0,0,0,0,0,0,0,100,"2047"
"Africa","Ethiopia","Ethiopia","ETH","high",3806,2858,2131,98550,4.1,1146,160,0,0,0,0,0,0,0,0,100,"2041"
"Africa","Gabon","Gabon","GAB","low",24132,24110,23974,8604,0,23888,23802,23716,23673,23630,23544,23458,23415,23372,23286,4,"4806"
"Africa","Gabon","Gabon","GAB","mean",24132,24110,23974,12950,0.1,23845,23715,23586,23521,23456,23327,23197,23133,23068,22938,5,"3871"
"Africa","Gabon","Gabon","GAB","high",24132,24110,23974,17295,0.1,23801,23629,23456,23369,23283,23110,22937,22850,22764,22591,6,"3406"
"Africa","Gambia","Gambia","GMB","low",52,46,42,152,0.3,40,38,37,36,35,34,32,32,31,29,44,"2293"
"Africa","Gambia","Gambia","GMB","mean",52,46,42,378,0.9,38,34,30,28,26,23,19,17,15,11,78,"2129"
"Africa","Gambia","Gambia","GMB","high",52,46,42,603,1.4,35,29,23,20,17,11,5,2,0,0,100,"2088"
"Africa","Ghana","Ghana","GHA","low",4931,4467,3326,67372,1.6,2652,1978,1305,968,631,0,0,0,0,0,100,"2069"
"Africa","Ghana","Ghana","GHA","mean",4931,4467,3326,114594,2.9,2180,1034,0,0,0,0,0,0,0,0,100,"2049"
"Africa","Ghana","Ghana","GHA","high",4931,4467,3326,161815,4.4,1708,90,0,0,0,0,0,0,0,0,100,"2040"
