"area_cont","area_ctry","area_name","area_code","proj","for2000","for2010","for2020","d","p","for2030","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","loss21","yrdis"
"America","Brazil","Brazil – Parana","PR","mean",3261,2702,2455,26608,1,2189,1923,1615,1444,1244,826,384,146,0,0,100,"2088"
"America","Brazil","Brazil – Parana","PR","high",3261,2702,2455,33466,1.3,2120,1759,1292,1023,739,93,0,0,0,0,100,"2072"
"America","Brazil","Brazil – Pernambouco","PE","low",144,121,110,683,0.6,103,96,89,84,65,23,0,0,0,0,100,"2075"
"America","Brazil","Brazil – Pernambouco","PE","mean",144,121,110,1234,1.1,97,85,31,0,0,0,0,0,0,0,100,"2055"
"America","Brazil","Brazil – Pernambouco","PE","high",144,121,110,1784,1.6,92,48,0,0,0,0,0,0,0,0,100,"2045"
"America","Brazil","Brazil – Piaui","PI","low",111,80,54,1408,1.9,40,26,12,3,0,0,0,0,0,0,100,"2056"
"America","Brazil","Brazil – Piaui","PI","mean",111,80,54,2689,4,27,0,0,0,0,0,0,0,0,0,100,"2041"
"America","Brazil","Brazil – Piaui","PI","high",111,80,54,3969,6.6,14,0,0,0,0,0,0,0,0,0,100,"2034"
"America","Brazil","Brazil – Rio de Janeiro","RJ","low",838,747,691,2573,0.3,665,639,613,598,571,510,414,358,297,170,80,"2113"
"America","Brazil","Brazil – Rio de Janeiro","RJ","mean",838,747,691,5789,0.8,633,575,475,409,312,103,0,0,0,0,100,"2075"
"America","Brazil","Brazil – Rio de Janeiro","RJ","high",838,747,691,9005,1.3,601,484,262,115,0,0,0,0,0,0,100,"2059"
"America","Brazil","Brazil – Rio Grande do Norte","RN","low",32,26,22,185,0.7,21,19,17,14,0,0,0,0,0,0,100,"2060"
"America","Brazil","Brazil – Rio Grande do Norte","RN","mean",32,26,22,335,1.4,19,16,0,0,0,0,0,0,0,0,100,"2045"
"America","Brazil","Brazil – Rio Grande do Norte","RN","high",32,26,22,484,2.1,18,0,0,0,0,0,0,0,0,0,100,"2039"
"America","Brazil","Brazil – Rio Grande do Sul","RS","low",2586,2228,2064,11155,0.5,1952,1841,1729,1671,1601,1454,1272,1173,1070,857,67,"2133"
"America","Brazil","Brazil – Rio Grande do Sul","RS","mean",2586,2228,2064,23904,1.1,1825,1586,1305,1148,961,570,155,0,0,0,100,"2084"
"America","Brazil","Brazil – Rio Grande do Sul","RS","high",2586,2228,2064,36653,1.8,1697,1305,805,521,221,0,0,0,0,0,100,"2064"
"America","Brazil","Brazil – Rondonia","RO","low",16554,13841,12507,107664,0.8,11430,10354,9277,8736,8183,7071,5924,5343,4757,3579,78,"2130"
"America","Brazil","Brazil – Rondonia","RO","mean",16554,13841,12507,134722,1,11160,9812,8423,7712,6971,5472,3949,3170,2349,639,96,"2104"
"America","Brazil","Brazil – Rondonia","RO","high",16554,13841,12507,161781,1.2,10889,9245,7494,6584,5658,3729,1644,544,0,0,100,"2088"
"America","Brazil","Brazil – Roraima","RR","low",16748,16251,15523,17340,0.1,15350,15176,15003,14914,14812,14604,14360,14230,14096,13821,17,"2217"
"America","Brazil","Brazil – Roraima","RR","mean",16748,16251,15523,60430,0.4,14919,14314,13668,13329,12959,12203,11422,11015,10566,9599,43,"2150"
"America","Brazil","Brazil – Roraima","RR","high",16748,16251,15523,103521,0.7,14488,13426,12258,11640,11005,9658,8156,7347,6411,3931,77,"2114"
"America","Brazil","Brazil – Santa Catarina","SC","low",2998,2510,2340,15197,0.6,2188,2036,1884,1806,1715,1528,1305,1186,1063,809,73,"2129"
"America","Brazil","Brazil – Santa Catarina","SC","mean",2998,2510,2340,19692,0.8,2143,1946,1707,1571,1405,1057,683,480,234,0,100,"2095"
"America","Brazil","Brazil – Santa Catarina","SC","high",2998,2510,2340,24187,1,2098,1830,1455,1233,995,442,0,0,0,0,100,"2077"
"America","Brazil","Brazil – Sao Paulo","SP","low",3071,2795,2644,10288,0.4,2541,2439,2336,2282,2216,2078,1904,1810,1711,1507,51,"2144"
"America","Brazil","Brazil – Sao Paulo","SP","mean",3071,2795,2644,15838,0.6,2486,2328,2127,2011,1864,1554,1219,1035,809,287,91,"2105"
"America","Brazil","Brazil – Sao Paulo","SP","high",3071,2795,2644,21388,0.8,2430,2190,1844,1635,1412,886,205,0,0,0,100,"2083"
"America","Brazil","Brazil – Sergipe","SE","low",76,63,55,355,0.6,52,48,45,41,24,0,0,0,0,0,100,"2067"
"America","Brazil","Brazil – Sergipe","SE","mean",76,63,55,794,1.3,47,39,0,0,0,0,0,0,0,0,100,"2049"
"America","Brazil","Brazil – Sergipe","SE","high",76,63,55,1232,2.2,43,4,0,0,0,0,0,0,0,0,100,"2041"
"America","Brazil","Brazil – Tocantins","TO","low",1771,1368,933,26928,2.2,663,394,125,0,0,0,0,0,0,0,100,"2055"
"America","Brazil","Brazil – Tocantins","TO","mean",1771,1368,933,44570,3.9,487,41,0,0,0,0,0,0,0,0,100,"2041"
"America","Brazil","Brazil – Tocantins","TO","high",1771,1368,933,62212,5.9,311,0,0,0,0,0,0,0,0,0,100,"2035"
"America","Colombia","Colombia","COL","low",70288,67017,64205,259912,0.4,61606,59007,56408,55108,53809,51210,48611,47311,46012,43412,38,"2267"
"America","Colombia","Colombia","COL","mean",70288,67017,64205,295615,0.5,61249,58293,55337,53859,52381,49425,46468,44990,43512,40556,42,"2237"
"America","Colombia","Colombia","COL","high",70288,67017,64205,331318,0.5,60892,57579,54266,52609,50953,47639,44326,42670,41013,37700,46,"2213"
"America","Costa Rica","Costa Rica","CRI","low",2433,2289,2117,14634,0.7,1971,1825,1678,1605,1532,1386,1239,1166,1093,947,61,"2164"
"America","Costa Rica","Costa Rica","CRI","mean",2433,2289,2117,18621,0.8,1931,1745,1559,1466,1372,1186,1000,907,814,628,74,"2133"
"America","Costa Rica","Costa Rica","CRI","high",2433,2289,2117,22608,1,1891,1665,1439,1326,1213,987,761,648,535,309,87,"2113"
"America","Cuba","Cuba","CUB","low",1567,1334,1204,10233,0.8,1101,999,897,846,794,692,590,539,487,385,75,"2137"
"America","Cuba","Cuba","CUB","mean",1567,1334,1204,15252,1.2,1051,899,746,670,594,441,289,212,136,0,100,"2098"
"America","Cuba","Cuba","CUB","high",1567,1334,1204,20270,1.6,1001,798,596,494,393,190,0,0,0,0,100,"2079"
"America","Dominica","Dominica","DMA","low",71,70,67,93,0.1,67,66,65,64,64,63,62,61,61,60,15,"2745"
"America","Dominica","Dominica","DMA","mean",71,70,67,219,0.3,65,63,61,60,59,57,54,53,52,50,29,"2328"
"America","Dominica","Dominica","DMA","high",71,70,67,346,0.5,64,61,57,55,54,50,47,45,43,40,44,"2214"
"America","Dominican Rep.","Dominican Rep.","DOM","low",1266,1018,866,9608,1,770,674,578,530,482,386,290,242,194,98,92,"2110"
"America","Dominican Rep.","Dominican Rep.","DOM","mean",1266,1018,866,15486,1.6,712,557,402,324,247,92,0,0,0,0,100,"2075"
"America","Dominican Rep.","Dominican Rep.","DOM","high",1266,1018,866,21364,2.3,653,439,226,119,12,0,0,0,0,0,100,"2060"
"America","Ecuador","Ecuador","ECU","low",15471,14952,14380,43234,0.3,13948,13516,13083,12867,12651,12219,11786,11570,11354,10922,29,"2352"
"America","Ecuador","Ecuador","ECU","mean",15471,14952,14380,60821,0.4,13772,13164,12556,12252,11948,11339,10731,10427,10123,9515,38,"2256"
"America","Ecuador","Ecuador","ECU","high",15471,14952,14380,78408,0.5,13596,12812,12028,11636,11244,10460,9676,9284,8892,8108,48,"2203"
"America","El Salvador","El Salvador","SLV","low",133,111,97,1156,1.1,85,74,62,56,51,39,27,22,16,4,97,"2103"
"America","El Salvador","El Salvador","SLV","mean",133,111,97,1618,1.6,81,64,48,40,32,16,0,0,0,0,100,"2079"
"America","El Salvador","El Salvador","SLV","high",133,111,97,2079,2.1,76,55,34,24,14,0,0,0,0,0,100,"2066"
"America","French Guiana","French Guiana","GUF","low",8121,8093,8066,2468,0,8041,8016,7992,7979,7967,7942,7918,7905,7893,7868,3,"5288"
"America","French Guiana","French Guiana","GUF","mean",8121,8093,8066,2940,0,8036,8007,7978,7963,7948,7919,7889,7875,7860,7831,4,"4763"
"America","French Guiana","French Guiana","GUF","high",8121,8093,8066,3411,0,8032,7998,7963,7946,7929,7895,7861,7844,7827,7793,4,"4384"
"America","Grenada","Grenada","GRD","low",26,22,19,56,0.3,19,18,17,17,17,16,16,16,15,15,43,"2361"
"America","Grenada","Grenada","GRD","mean",26,22,19,292,1.4,16,13,10,9,7,5,2,0,0,0,100,"2085"
"America","Grenada","Grenada","GRD","high",26,22,19,528,2.7,14,9,3,1,0,0,0,0,0,0,100,"2056"
"America","Guadeloupe","Guadeloupe","GLP","low",80,78,73,223,0.3,71,68,66,65,64,62,60,58,57,55,31,"2347"
"America","Guadeloupe","Guadeloupe","GLP","mean",80,78,73,376,0.5,69,65,62,60,58,54,50,48,47,43,46,"2213"
"America","Guadeloupe","Guadeloupe","GLP","high",80,78,73,529,0.7,68,62,57,54,52,46,41,39,36,31,62,"2157"
"America","Guatemala","Guatemala","GTM","low",3504,2728,2282,39425,1.5,1887,1493,1099,902,705,310,0,0,0,0,100,"2077"
"America","Guatemala","Guatemala","GTM","mean",3504,2728,2282,48867,2,1793,1304,816,571,327,0,0,0,0,0,100,"2066"
"America","Guatemala","Guatemala","GTM","high",3504,2728,2282,58309,2.4,1698,1115,532,241,0,0,0,0,0,0,100,"2059"
"America","Guyana","Guyana","GUY","low",18630,18504,18362,11284,0.1,18249,18136,18023,17967,17910,17797,17685,17628,17572,17459,6,"3647"
"America","Guyana","Guyana","GUY","mean",18630,18504,18362,15128,0.1,18210,18059,17908,17832,17756,17605,17454,17378,17303,17151,8,"3233"
"America","Guyana","Guyana","GUY","high",18630,18504,18362,18972,0.1,18172,17982,17792,17698,17603,17413,17223,17128,17034,16844,10,"2987"
"America","Haiti","Haiti","HTI","low",256,168,122,3747,2.5,85,47,10,0,0,0,0,0,0,0,100,"2052"
"America","Haiti","Haiti","HTI","mean",256,168,122,4840,3.3,74,25,0,0,0,0,0,0,0,0,100,"2045"
"America","Haiti","Haiti","HTI","high",256,168,122,5932,4.3,63,3,0,0,0,0,0,0,0,0,100,"2040"
"America","Honduras","Honduras","HND","low",3435,3018,2571,35302,1.2,2218,1865,1512,1336,1159,806,453,277,100,0,100,"2092"
"America","Honduras","Honduras","HND","mean",3435,3018,2571,46107,1.6,2110,1649,1188,958,727,266,0,0,0,0,100,"2075"
"America","Honduras","Honduras","HND","high",3435,3018,2571,56912,2.1,2002,1433,864,580,295,0,0,0,0,0,100,"2065"
"America","Jamaica","Jamaica","JAM","low",482,427,395,1924,0.5,376,357,338,328,318,299,280,270,261,241,50,"2225"
"America","Jamaica","Jamaica","JAM","mean",482,427,395,3295,0.8,362,329,296,280,263,231,198,181,165,132,73,"2139"
"America","Jamaica","Jamaica","JAM","high",482,427,395,4667,1.2,349,302,255,232,209,162,115,92,69,22,95,"2104"
"America","Martinique","Martinique","MTQ","low",73,71,66,250,0.4,63,61,58,57,56,53,51,50,48,46,37,"2283"
"America","Martinique","Martinique","MTQ","mean",73,71,66,428,0.6,62,57,53,51,49,45,40,38,36,32,56,"2174"
"America","Martinique","Martinique","MTQ","high",73,71,66,605,0.9,60,54,48,45,42,36,30,27,24,18,76,"2129"
"America","Mexico","Mexico","MEX","low",9350,7512,6270,95362,1.3,5316,4363,3409,2932,2455,1502,548,71,0,0,100,"2085"
"America","Mexico","Mexico","MEX","mean",9350,7512,6270,134606,2,4924,3578,2232,1559,886,0,0,0,0,0,100,"2066"
"America","Mexico","Mexico","MEX","high",9350,7512,6270,173849,2.6,4531,2793,1054,185,0,0,0,0,0,0,100,"2056"
"America","Montserrat","Montserrat","MSR","low",3,3,3,4,0.1,3,3,3,3,3,3,3,3,3,3,13,"2841"
"America","Montserrat","Montserrat","MSR","mean",3,3,3,11,0.3,3,3,3,3,3,3,3,3,3,2,30,"2318"
"America","Montserrat","Montserrat","MSR","high",3,3,3,17,0.5,3,3,3,3,3,2,2,2,2,2,44,"2213"
"America","Nicaragua","Nicaragua","NIC","low",4972,4312,3376,59037,1.5,2786,2195,1605,1310,1014,424,0,0,0,0,100,"2077"
"America","Nicaragua","Nicaragua","NIC","mean",4972,4312,3376,96471,2.5,2411,1447,482,0,0,0,0,0,0,0,100,"2054"
"America","Nicaragua","Nicaragua","NIC","high",4972,4312,3376,133905,3.6,2037,698,0,0,0,0,0,0,0,0,100,"2045"
"America","Panama","Panama","PAN","low",4443,4214,3998,18559,0.4,3813,3627,3441,3349,3256,3070,2885,2792,2699,2514,43,"2235"
"America","Panama","Panama","PAN","mean",4443,4214,3998,23270,0.6,3766,3533,3300,3184,3067,2835,2602,2486,2369,2137,52,"2191"
"America","Panama","Panama","PAN","high",4443,4214,3998,27981,0.7,3718,3439,3159,3019,2879,2599,2319,2179,2040,1760,60,"2162"
"America","Paraguay","Paraguay","PRY","low",2370,1458,1071,23340,1.7,838,604,371,254,137,0,0,0,0,0,100,"2065"
"America","Paraguay","Paraguay","PRY","mean",2370,1458,1071,40701,3.2,664,257,0,0,0,0,0,0,0,0,100,"2046"
"America","Paraguay","Paraguay","PRY","high",2370,1458,1071,58063,5,490,0,0,0,0,0,0,0,0,0,100,"2038"
"America","Peru","Peru","PER","low",73541,72081,70775,127725,0.2,69498,68221,66943,66305,65666,64389,63112,62473,61834,60557,18,"2574"
"America","Peru","Peru","PER","mean",73541,72081,70775,139441,0.2,69381,67986,66592,65895,65197,63803,62409,61711,61014,59620,19,"2527"
"America","Peru","Peru","PER","high",73541,72081,70775,151158,0.2,69263,67752,66240,65485,64729,63217,61706,60950,60194,58682,20,"2488"
"America","Puerto Rico","Puerto Rico","PRI","low",426,367,320,2197,0.6,298,276,254,243,232,210,188,177,166,144,66,"2165"
"America","Puerto Rico","Puerto Rico","PRI","mean",426,367,320,4794,1.4,272,224,176,152,128,80,32,8,0,0,100,"2086"
"America","Puerto Rico","Puerto Rico","PRI","high",426,367,320,7390,2.2,246,172,98,61,24,0,0,0,0,0,100,"2063"
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","low",9,9,9,20,0.2,8,8,8,8,8,8,7,7,7,7,24,"2450"
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","mean",9,9,9,41,0.5,8,8,7,7,7,7,6,6,6,5,42,"2229"
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","high",9,9,9,61,0.7,8,7,7,6,6,6,5,5,4,4,60,"2160"
"America","Saint Lucia","Saint Lucia","LCA","low",48,47,44,111,0.2,43,42,41,40,40,38,37,37,36,35,26,"2415"
"America","Saint Lucia","Saint Lucia","LCA","mean",48,47,44,260,0.6,41,39,36,35,34,31,28,27,26,23,51,"2189"
"America","Saint Lucia","Saint Lucia","LCA","high",48,47,44,409,0.9,40,36,32,30,28,24,19,17,15,11,76,"2127"
"America","Saint Martin","Saint Martin","MAF","low",1,1,0,6,1.1,0,0,0,0,0,0,0,0,0,0,100,"2062"
"America","Saint Martin","Saint Martin","MAF","mean",1,1,0,29,7,0,0,0,0,0,0,0,0,0,0,100,"2028"
"America","Saint Martin","Saint Martin","MAF","high",1,1,0,52,22.7,0,0,0,0,0,0,0,0,0,0,100,"2024"
"America","Saint Vincent","Saint Vincent","VCT","low",29,29,27,43,0.2,27,27,26,26,26,25,25,25,24,24,17,"2658"
"America","Saint Vincent","Saint Vincent","VCT","mean",29,29,27,101,0.4,26,25,24,24,23,22,21,21,20,19,33,"2291"
"America","Saint Vincent","Saint Vincent","VCT","high",29,29,27,159,0.6,26,24,23,22,21,20,18,17,16,15,49,"2192"
"America","Sint Maarten","Sint Maarten","SXM","low",0,0,0,3,1.5,0,0,0,0,0,0,0,0,0,0,100,"2055"
"America","Sint Maarten","Sint Maarten","SXM","mean",0,0,0,12,7.7,0,0,0,0,0,0,0,0,0,0,100,"2028"
"America","Sint Maarten","Sint Maarten","SXM","high",0,0,0,21,29.1,0,0,0,0,0,0,0,0,0,0,100,"2025"
"America","Suriname","Suriname","SUR","low",13828,13741,13627,9863,0.1,13528,13429,13331,13281,13232,13133,13035,12986,12936,12838,7,"3401"
"America","Suriname","Suriname","SUR","mean",13828,13741,13627,12244,0.1,13504,13382,13259,13198,13137,13014,12892,12831,12770,12647,9,"3132"
"America","Suriname","Suriname","SUR","high",13828,13741,13627,14624,0.1,13480,13334,13188,13115,13042,12895,12749,12676,12603,12457,10,"2951"
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","low",349,334,307,1057,0.3,296,285,275,270,264,254,243,238,233,222,36,"2309"
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","mean",349,334,307,2875,0.9,278,249,220,206,192,163,134,120,105,77,78,"2126"
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","high",349,334,307,4693,1.5,260,213,166,142,119,72,25,1,0,0,100,"2085"
"America","Venezuela","Venezuela","VEN","low",44819,42990,41463,102409,0.2,40439,39415,38391,37878,37366,36342,35318,34806,34294,33270,26,"2424"
"America","Venezuela","Venezuela","VEN","mean",44819,42990,41463,150789,0.4,39955,38447,36939,36185,35431,33923,32415,31662,30908,29400,34,"2294"
"America","Venezuela","Venezuela","VEN","high",44819,42990,41463,199168,0.5,39471,37479,35488,34492,33496,31504,29513,28517,27521,25529,43,"2228"
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","low",4,3,2,39,1.4,1,1,1,0,0,0,0,0,0,0,100,"2067"
