"area_cont","area_ctry","area_name","area_code","proj","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100"
"America","Brazil","Brazil – Paraiba","PB","mean",65,75,132,894,894,894,894,894,894
"America","Brazil","Brazil – Paraiba","PB","high",65,107,826,894,894,894,894,894,894
"America","Brazil","Brazil – Parana","PR","low",15177,11863,22258,32527,43815,56387,71666,89563,111129
"America","Brazil","Brazil – Parana","PR","mean",15177,15514,29382,45563,66053,91762,126108,162365,162365
"America","Brazil","Brazil – Parana","PR","high",15177,19110,37921,63303,97752,151005,162365,162365,162365
"America","Brazil","Brazil – Pernambouco","PE","low",246,163,298,437,976,2097,3003,3003,3003
"America","Brazil","Brazil – Pernambouco","PE","mean",246,272,525,1874,3003,3003,3003,3003,3003
"America","Brazil","Brazil – Pernambouco","PE","high",246,382,1412,3003,3003,3003,3003,3003,3003
"America","Brazil","Brazil – Piaui","PI","low",1127,619,1343,1910,2249,2249,2249,2249,2249
"America","Brazil","Brazil – Piaui","PI","mean",1127,1285,2243,2249,2249,2249,2249,2249,2249
"America","Brazil","Brazil – Piaui","PI","high",1127,1819,2249,2249,2249,2249,2249,2249,2249
"America","Brazil","Brazil – Rio de Janeiro","RJ","low",2327,723,1695,2834,4984,8584,15158,24304,35558
"America","Brazil","Brazil – Rio de Janeiro","RJ","mean",2327,1966,4756,10834,23062,42119,52564,52564,52564
"America","Brazil","Brazil – Rio de Janeiro","RJ","high",2327,3446,10225,27340,52564,52564,52564,52564,52564
"America","Brazil","Brazil – Rio Grande do Norte","RN","low",41,24,48,69,386,386,386,386,386
"America","Brazil","Brazil – Rio Grande do Norte","RN","mean",41,44,82,386,386,386,386,386,386
"America","Brazil","Brazil – Rio Grande do Norte","RN","high",41,61,386,386,386,386,386,386,386
"America","Brazil","Brazil – Rio Grande do Sul","RS","low",5716,2798,5831,9117,13318,18703,26253,35616,46415
"America","Brazil","Brazil – Rio Grande do Sul","RS","mean",5716,6287,13832,24827,41039,62591,90113,103004,103004
"America","Brazil","Brazil – Rio Grande do Sul","RS","high",5716,10117,24844,49205,85317,103004,103004,103004,103004
"America","Brazil","Brazil – Rondonia","RO","low",123697,106109,197059,289299,391566,505943,631858,765554,903801
"America","Brazil","Brazil – Rondonia","RO","mean",123697,129735,242614,368250,516676,683183,860056,1051362,1262379
"America","Brazil","Brazil – Rondonia","RO","high",123697,152759,292118,461303,661916,885989,1137825,1341636,1341636
"America","Brazil","Brazil – Roraima","RR","low",63099,17257,34022,50008,67445,86176,107841,131484,156065
"America","Brazil","Brazil – Roraima","RR","mean",63099,57704,111937,169864,234177,304543,380940,465432,565917
"America","Brazil","Brazil – Roraima","RR","high",63099,96456,191612,299249,421875,559540,726776,929636,1225721
"America","Brazil","Brazil – Santa Catarina","SC","low",11018,9427,18510,27567,37725,49223,63469,79808,97807
"America","Brazil","Brazil – Santa Catarina","SC","mean",11018,12110,23863,38171,56970,80200,107182,143493,164630
"America","Brazil","Brazil – Santa Catarina","SC","high",11018,14799,30780,53780,84486,126092,164630,164630,164630
"America","Brazil","Brazil – Sao Paulo","SP","low",6918,2554,6287,10918,17477,26114,38123,52704,69169
"America","Brazil","Brazil – Sao Paulo","SP","mean",6918,4455,11324,22893,41073,65273,93963,132033,183411
"America","Brazil","Brazil – Sao Paulo","SP","high",6918,6616,18988,42569,77188,124642,191139,212282,212282
"America","Brazil","Brazil – Sergipe","SE","low",171,73,152,236,743,1465,1465,1465,1465
"America","Brazil","Brazil – Sergipe","SE","mean",171,173,358,1465,1465,1465,1465,1465,1465
