"area_cont","area_ctry","area_name","area_code","proj","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100"
"Africa","Zambia","Zambia","ZMB","low",1827,1306,2673,3777,3942,3942,3942,3942,3942
"Africa","Zambia","Zambia","ZMB","mean",1827,2013,3818,3942,3942,3942,3942,3942,3942
"Africa","Zambia","Zambia","ZMB","high",1827,2726,3942,3942,3942,3942,3942,3942,3942
"Asia","Australia","Australia – Queensland","QLD","low",15785,12144,23708,34893,45800,56653,67431,78276,89239
"Asia","Australia","Australia – Queensland","QLD","mean",15785,20888,40412,59427,78378,97704,118126,139893,163237
"Asia","Australia","Australia – Queensland","QLD","high",15785,29411,56763,83915,112241,143210,177524,215132,254926
"Asia","Bangladesh","Bangladesh","BGD","low",2288,2371,4132,5664,7176,8742,10409,12193,14029
"Asia","Bangladesh","Bangladesh","BGD","mean",2288,3220,5489,7677,10006,12578,15252,18002,20773
"Asia","Bangladesh","Bangladesh","BGD","high",2288,3950,6829,9809,13175,16713,20327,24042,27852
"Asia","Bhutan","Bhutan","BTN","low",11700,10108,20617,31568,42572,53661,64740,75883,87144
"Asia","Bhutan","Bhutan","BTN","mean",11700,13178,27052,41314,55680,70036,84572,99224,113939
"Asia","Bhutan","Bhutan","BTN","high",11700,16265,33543,51139,68776,86629,104627,122837,141267
"Asia","Brunei","Brunei","BRN","low",588,359,881,1451,2051,2642,3223,3804,4399
"Asia","Brunei","Brunei","BRN","mean",588,519,1239,2023,2798,3562,4342,5151,5986
"Asia","Brunei","Brunei","BRN","high",588,686,1613,2587,3538,4508,5525,6589,7712
"Asia","Cambodia","Cambodia","KHM","low",103030,72713,153945,247569,307566,307566,307566,307566,307566
"Asia","Cambodia","Cambodia","KHM","mean",103030,104972,231626,307566,307566,307566,307566,307566,307566
"Asia","Cambodia","Cambodia","KHM","high",103030,139692,307566,307566,307566,307566,307566,307566,307566
"Asia","Fiji","Fiji","FJI","low",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia","Fiji","Fiji","FJI","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia","Fiji","Fiji","FJI","high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia","India","India – Andaman and N.","AN","low",1133,256,545,889,1277,1700,2145,2599,3046
"Asia","India","India – Andaman and N.","AN","mean",1133,852,2058,3365,4614,5846,7104,8409,9745
"Asia","India","India – Andaman and N.","AN","high",1133,1615,3764,5805,7914,10118,12355,14636,17003
"Asia","India","India – North-East","NE","low",52510,43675,92335,144191,198628,255263,314030,374964,438206
"Asia","India","India – North-East","NE","mean",52510,63438,135174,212326,293827,379649,470011,563993,654320
"Asia","India","India – North-East","NE","high",52510,83836,179847,283827,394978,513653,634002,683486,683486
"Asia","India","India – West. Ghats","WG","low",23665,14533,36975,64479,94561,126811,158881,158881,158881
"Asia","India","India – West. Ghats","WG","mean",23665,23872,61664,105652,155801,158881,158881,158881,158881
"Asia","India","India – West. Ghats","WG","high",23665,34575,88618,152372,158881,158881,158881,158881,158881
"Asia","Indonesia","Indonesia","IDN","low",914811,648283,1421733,2359066,3452475,4675332,5998995,7399642,8849108
"Asia","Indonesia","Indonesia","IDN","mean",914811,869154,1970429,3350195,4953032,6719072,8589979,10516543,12486265
"Asia","Indonesia","Indonesia","IDN","high",914811,1101456,2582986,4451321,6594924,8906250,11295379,13764576,15686232
"Asia","Laos","Laos","LAO","low",146776,124872,264064,410864,567109,736590,929158,929158,929158
"Asia","Laos","Laos","LAO","mean",146776,149682,316723,495157,689059,916788,929158,929158,929158
"Asia","Laos","Laos","LAO","high",146776,174807,370468,582636,822850,929158,929158,929158,929158
"Asia","Malaysia","Malaysia","MYS","low",237535,178805,411559,694472,1015715,1364029,1734911,2119165,2505255
"Asia","Malaysia","Malaysia","MYS","mean",237535,227400,534348,910307,1331425,1786739,2260364,2732426,2955147
"Asia","Malaysia","Malaysia","MYS","high",237535,278452,666982,1139504,1666347,2225019,2782833,2955147,2955147
"Asia","Myanmar","Myanmar","MMR","low",207346,172386,377502,596245,826119,1068407,1325525,1600937,1813034
"Asia","Myanmar","Myanmar","MMR","mean",207346,220978,483837,765004,1064699,1387478,1739056,1813034,1813034
"Asia","Myanmar","Myanmar","MMR","high",207346,271050,592884,940157,1317583,1734270,1813034,1813034,1813034
"Asia","New Caledonia","New Caledonia","NCL","low",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia","New Caledonia","New Caledonia","NCL","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia","New Caledonia","New Caledonia","NCL","high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia","Papua New Guinea","Papua New Guinea","PNG","low",63247,45761,83586,122053,159738,197529,235761,274861,315025
"Asia","Papua New Guinea","Papua New Guinea","PNG","mean",63247,70691,134449,197216,261274,328061,397132,468228,540884
"Asia","Papua New Guinea","Papua New Guinea","PNG","high",63247,96268,184466,274208,368976,467884,569932,674808,782178
"Asia","Philippines","Philippines","PHL","low",71381,31895,71099,112560,154873,197502,240526,283989,327985
"Asia","Philippines","Philippines","PHL","mean",71381,65165,142476,221641,302236,385410,473820,569880,676223
"Asia","Philippines","Philippines","PHL","high",71381,100306,215359,333536,459461,600946,765467,956331,1132494
"Asia","Singapore","Singapore","SGP","low",22,8,24,44,68,95,127,162,199
"Asia","Singapore","Singapore","SGP","mean",22,18,50,92,146,205,270,343,423
"Asia","Singapore","Singapore","SGP","high",22,29,82,155,240,338,423,423,423
"Asia","Solomon Isl.","Solomon Isl.","SLB","low",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia","Solomon Isl.","Solomon Isl.","SLB","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia","Solomon Isl.","Solomon Isl.","SLB","high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia","Sri Lanka","Sri Lanka","LKA","low",7206,4171,9352,15457,22263,29650,37486,45658,54151
"Asia","Sri Lanka","Sri Lanka","LKA","mean",7206,6827,15929,26703,38654,51410,65052,80629,90093
"Asia","Sri Lanka","Sri Lanka","LKA","high",7206,9769,23306,39244,56689,76342,90093,90093,90093
"Asia","Thailand","Thailand","THA","low",45144,28594,61626,96998,134266,173043,213198,254624,297236
"Asia","Thailand","Thailand","THA","mean",45144,43952,95174,150574,209119,270474,334395,401088,471925
"Asia","Thailand","Thailand","THA","high",45144,59915,130468,207088,288629,374709,466811,600949,600949
"Asia","Timor-Leste","Timor-Leste","TLS","low",953,498,993,1509,2044,2574,3107,3645,4187
"Asia","Timor-Leste","Timor-Leste","TLS","mean",953,1249,2580,3925,5077,5077,5077,5077,5077
"Asia","Timor-Leste","Timor-Leste","TLS","high",953,2050,4199,5077,5077,5077,5077,5077,5077
"Asia","Vanuatu","Vanuatu","VUT","low",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia","Vanuatu","Vanuatu","VUT","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia","Vanuatu","Vanuatu","VUT","high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia","Vietnam","Vietnam","VNM","low",86024,73415,154246,241400,334472,434869,546964,668067,668067
"Asia","Vietnam","Vietnam","VNM","mean",86024,92045,195466,307935,430900,571546,668067,668067,668067
"Asia","Vietnam","Vietnam","VNM","high",86024,111281,238010,377916,537973,668067,668067,668067,668067
